seed:seednum,accuracy:#%
seed:0,accuracy:82.51%
seed:1,accuracy:84.57%
seed:2,accuracy:84.85%
seed:3,accuracy:84.16%
seed:4,accuracy:85.95%
seed:5,accuracy:85.12%
seed:6,accuracy:85.26%
seed:7,accuracy:86.09%
seed:8,accuracy:83.47%
seed:9,accuracy:84.85%
seed:10,accuracy:84.71%
seed:11,accuracy:83.75%
seed:12,accuracy:85.12%
seed:13,accuracy:84.85%
seed:14,accuracy:85.40%
seed:15,accuracy:84.02%
seed:16,accuracy:85.40%
seed:17,accuracy:85.26%
seed:18,accuracy:83.75%
seed:19,accuracy:87.33%
seed:20,accuracy:86.91%
seed:21,accuracy:83.75%
seed:22,accuracy:87.19%
seed:23,accuracy:84.99%
seed:24,accuracy:83.06%
seed:25,accuracy:83.06%
seed:26,accuracy:84.71%
seed:27,accuracy:85.95%
seed:28,accuracy:83.06%
seed:29,accuracy:85.54%
seed:30,accuracy:85.67%
seed:31,accuracy:82.37%
seed:32,accuracy:81.96%
seed:33,accuracy:84.57%
seed:34,accuracy:83.75%
seed:35,accuracy:86.78%
seed:36,accuracy:84.44%
seed:37,accuracy:85.81%
seed:38,accuracy:86.50%
seed:39,accuracy:84.30%
seed:40,accuracy:86.64%
seed:41,accuracy:84.44%
seed:42,accuracy:84.71%
seed:43,accuracy:84.85%
seed:44,accuracy:85.12%
seed:45,accuracy:83.33%
seed:46,accuracy:85.95%
seed:47,accuracy:83.06%
seed:48,accuracy:82.78%
seed:49,accuracy:83.88%
seed:50,accuracy:86.78%
seed:51,accuracy:84.85%
seed:52,accuracy:82.64%
seed:53,accuracy:83.20%
seed:54,accuracy:84.02%
seed:55,accuracy:85.81%
seed:56,accuracy:84.57%
seed:57,accuracy:89.12%
seed:58,accuracy:83.75%
seed:59,accuracy:84.16%
seed:60,accuracy:84.99%
seed:61,accuracy:83.47%
seed:62,accuracy:83.75%
seed:63,accuracy:85.95%
seed:64,accuracy:84.44%
seed:65,accuracy:83.88%
seed:66,accuracy:85.12%
seed:67,accuracy:84.99%
seed:68,accuracy:83.47%
seed:69,accuracy:85.81%
seed:70,accuracy:84.85%
seed:71,accuracy:85.67%
seed:72,accuracy:82.78%
seed:73,accuracy:85.67%
seed:74,accuracy:81.54%
